Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$
5,Brasil,Anguilla,2009,0,0
6,Brasil,Antígua e Barbuda,2009,0,0
7,Brasil,Antilhas Holandesas,2009,8235,10651
8,Brasil,Argentina,2009,162,4523
9,Brasil,Aruba,2009,0,0
10,Brasil,Austrália,2009,1014,9195
11,Brasil,Áustria,2009,0,0
12,Brasil,Bahamas,2009,0,0
13,Brasil,Bangladesh,2009,0,0
14,Brasil,Barbados,2009,0,0
15,Brasil,Barein,2009,0,0
16,Brasil,Bélgica,2009,125962,58764
17,Brasil,Belice,2009,0,0
18,Brasil,Benin,2009,0,0
19,Brasil,Bolívia,2009,40463,20729
20,Brasil,Bósnia-Herzegovina,2009,0,0
21,Brasil,Brasil,2009,0,0
22,Brasil,Bulgária,2009,0,0
23,Brasil,Cabo Verde,2009,0,0
24,Brasil,Camarões,2009,0,0
25,Brasil,Canadá,2009,15664,73445
26,Brasil,Catar,2009,0,0
27,Brasil,"Cayman, Ilhas",2009,0,0
28,Brasil,Chile,2009,1475,4297
29,Brasil,China,2009,1553416,482400
30,Brasil,Chipre,2009,0,0
31,Brasil,Cingapura,2009,2419,6110
32,Brasil,"Cocos (Keeling), Ilhas",2009,0,0
33,Brasil,Colômbia,2009,0,0
34,Brasil,Comores,2009,0,0
35,Brasil,Congo,2009,0,0
36,Brasil,"Coreia, Republica Sul",2009,0,0
37,Brasil,Costa do Marfim,2009,0,0
38,Brasil,Costa Rica,2009,0,0
39,Brasil,Croácia,2009,0,0
40,Brasil,Cuba,2009,0,0
41,Brasil,Curaçao,2009,0,0
42,Brasil,Dinamarca,2009,1980,21780
43,Brasil,Dominica,2009,0,0
44,Brasil,El Salvador,2009,55,100
45,Brasil,Emirados Arabes Unidos,2009,1398,4032
46,Brasil,Equador,2009,0,0
47,Brasil,"Eslovaca, Republica",2009,0,0
48,Brasil,Espanha,2009,2181,4050
49,Brasil,Estados Unidos,2009,372319,660066
50,Brasil,Estônia,2009,5438,10802
51,Brasil,Filipinas,2009,0,0
52,Brasil,Finlândia,2009,0,0
53,Brasil,França,2009,0,0
54,Brasil,Gana,2009,0,0
55,Brasil,Gibraltar,2009,0,0
56,Brasil,Granada,2009,0,0
57,Brasil,Grécia,2009,0,0
58,Brasil,Guatemala,2009,20,20
59,Brasil,Guiana,2009,0,0
60,Brasil,Guiana Francesa,2009,0,0
61,Brasil,Guine Bissau,2009,0,0
62,Brasil,Guine Equatorial,2009,169,272
63,Brasil,Haiti,2009,4500,5863
64,Brasil,Honduras,2009,14,30
65,Brasil,Hong Kong,2009,50319,27188
66,Brasil,Hungria,2009,0,0
67,Brasil,Ilha de Man,2009,0,0
68,Brasil,Ilhas Virgens,2009,0,0
69,Brasil,India,2009,0,0
