Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$,Population Qt
78,Brasil,Letônia,2009,0,0,1749.4324999999994
79,Brasil,Líbano,2009,0,0,3372.082000000001
80,Brasil,Libéria,2009,0,0,1979.4845000000005
81,Brasil,Luxemburgo,2009,7845,42124,
82,Brasil,Malásia,2009,0,0,18448.322
83,Brasil,Malta,2009,0,0,336.7360000000001
84,Brasil,"Marshall, Ilhas",2009,0,0,29.374500000000022
85,Brasil,Mauritânia,2009,0,0,1659.0560000000005
86,Brasil,México,2009,0,0,70798.691
87,Brasil,Moçambique,2009,0,0,
88,Brasil,Montenegro,2009,0,0,480.9490000000002
89,Brasil,Namibia,2009,0,0,1139.0614999999998
90,Brasil,Nicaragua,2009,24,24,3342.9520000000025
91,Brasil,Nigéria,2009,41,115,77589.97699999994
92,Brasil,Noruega,2009,0,0,3722.752499999999
93,Brasil,Nova Caledônia,2009,0,0,176.04349999999997
94,Brasil,Nova Zelândia,2009,0,0,3212.126500000001
95,Brasil,Omã,2009,0,0,1765.2080000000005
96,Brasil,Países Baixos,2009,171654,136991,13015.649999999998
97,Brasil,Panamá,2009,24,30,2319.225
98,Brasil,Paraguai,2009,486927,392087,3408.9480000000012
99,Brasil,Peru,2009,0,0,18568.10750000001
100,Brasil,Polônia,2009,6982,35797,31159.639499999997
101,Brasil,Porto Rico,2009,0,0,2818.363999999998
102,Brasil,Portugal,2009,141000,168923,8623.619499999995
103,Brasil,Quênia,2009,0,0,20118.037500000002
104,Brasil,Reino Unido,2009,30092,68788,48888.47249999998
105,Brasil,República Dominicana,2009,0,0,6051.4625
106,Brasil,Rússia,2009,21912914,5732280,116689.63949999999
107,Brasil,São Tomé e Príncipe,2009,0,0,91.49550000000005
108,Brasil,São Vicente e Granadinas,2009,0,0,74.46749999999997
109,Brasil,Senegal,2009,0,0,6112.178999999998
110,Brasil,Serra Leoa,2009,0,0,3133.8040000000005
111,Brasil,Singapura,2009,0,0,
112,Brasil,Suazilândia,2009,0,0,
113,Brasil,Suécia,2009,28334,52826,7377.436500000002
114,Brasil,Suíça,2009,27653,81319,6284.128499999999
115,Brasil,Suriname,2009,3830,12918,349.26750000000015
116,Brasil,Tailândia,2009,0,0,51463.062499999985
117,Brasil,Taiwan (FORMOSA),2009,0,0,
118,Brasil,Tanzânia,2009,0,0,21432.646499999988
119,Brasil,"Tcheca, República",2009,9269,43902,8574.781499999996
120,Brasil,Togo,2009,0,0,3309.637499999999
121,Brasil,Trinidade Tobago,2009,0,0,1043.3579999999993
122,Brasil,Tunísia,2009,0,0,7580.9630000000025
123,Brasil,Turquia,2009,0,0,
124,Brasil,Tuvalu,2009,0,0,6.344999999999999
125,Brasil,Uruguai,2009,0,0,2429.242000000001
126,Brasil,Vanuatu,2009,0,0,130.20350000000005
127,Brasil,Venezuela,2009,0,0,18084.468999999997
128,Brasil,Vietnã,2009,743,2143,
1,Brasil,Afeganistão,2010,0,0,12360.161500000004
2,Brasil,África do Sul,2010,0,0,33635.14799999999
3,Brasil,"Alemanha, República Democrática",2010,27715,138666,
4,Brasil,Angola,2010,33557,189891,11188.943499999994
5,Brasil,Anguilla,2010,0,0,9.496999999999995
6,Brasil,Antígua e Barbuda,2010,0,0,
7,Brasil,Antilhas Holandesas,2010,9810,12808,
8,Brasil,Argentina,2010,0,0,28426.3805
9,Brasil,Aruba,2010,0,0,75.01100000000001
10,Brasil,Austrália,2010,1823,17960,16963.478499999987
11,Brasil,Áustria,2010,0,0,6829.933000000001
12,Brasil,Bahamas,2010,3175,12759,254.44549999999995
13,Brasil,Bangladesh,2010,0,0,89588.70499999996
14,Brasil,Barbados,2010,0,0,208.5585
15,Brasil,Barein,2010,0,0,921.5145000000002
16,Brasil,Bélgica,2010,42532,185411,8657.906499999997
17,Brasil,Belice,2010,0,0,186.69300000000007
18,Brasil,Benin,2010,0,0,4687.3330000000005
19,Brasil,Bolívia,2010,54,282,6000.392000000003
20,Brasil,Bósnia-Herzegovina,2010,0,0,3065.383
21,Brasil,Brasil,2010,0,0,137457.76600000003
22,Brasil,Bulgária,2010,0,0,6323.796500000002
23,Brasil,Cabo Verde,2010,11991,49366,316.8715
24,Brasil,Camarões,2010,0,0,9830.6775
25,Brasil,Canadá,2010,0,0,27021.679500000017
26,Brasil,Catar,2010,0,0,1444.282500000001
27,Brasil,"Cayman, Ilhas",2010,0,0,42.47800000000001
28,Brasil,Chile,2010,0,0,12508.488500000001
29,Brasil,China,2010,795,2358,1043506.2485000002
