Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Ethiopia,ETH,86755585,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924,..
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48429,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090,..
"Population, total",SP.POP.TOTL,Fiji,FJI,901383,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766,..
"Population, total",SP.POP.TOTL,Finland,FIN,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,..
"Population, total",SP.POP.TOTL,France,FRA,64710879,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311,..
"Population, total",SP.POP.TOTL,French Polynesia,PYF,282283,283788,285265,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279,..
"Population, total",SP.POP.TOTL,Gabon,GAB,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1878119,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992,..
"Population, total",SP.POP.TOTL,Georgia,GEO,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,..
"Population, total",SP.POP.TOTL,Germany,DEU,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,..
"Population, total",SP.POP.TOTL,Ghana,GHA,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870,..
"Population, total",SP.POP.TOTL,Gibraltar,GIB,30819,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649,..
"Population, total",SP.POP.TOTL,Greece,GRC,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919,..
"Population, total",SP.POP.TOTL,Greenland,GRL,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661,..
"Population, total",SP.POP.TOTL,Grenada,GRD,113249,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438,..
"Population, total",SP.POP.TOTL,Guam,GUM,164580,164905,165649,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774,..
"Population, total",SP.POP.TOTL,Guatemala,GTM,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886,..
"Population, total",SP.POP.TOTL,Guinea,GIN,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566,..
"Population, total",SP.POP.TOTL,Guyana,GUY,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726,..
"Population, total",SP.POP.TOTL,Haiti,HTI,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996,..
"Population, total",SP.POP.TOTL,Honduras,HND,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860,..
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048,..
"Population, total",SP.POP.TOTL,Iceland,ISL,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003,..
"Population, total",SP.POP.TOTL,India,IND,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,..
"Population, total",SP.POP.TOTL,Indonesia,IDN,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,..
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570,..
"Population, total",SP.POP.TOTL,Iraq,IRQ,30289040,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122,..
